code,mets,major_heading_ja,activity_ja,major_heading_en,activity_en
01003,14,自転車,自転車に乗る：山道、上り坂、きつい労力,bicycling,"bicycling, mountain, uphill, vigorous"
01004,16,自転車,自転車に乗る：山道、競技、レース,bicycling,"bicycling, mountain, competitive, racing"
01008,8.5,自転車,自転車に乗る：モトクロス用自転車,bicycling,"bicycling, BMX"
01009,8.5,自転車,自転車に乗る：山道、全般,bicycling,"bicycling, mountain, general"
01010,4,自転車,自転車に乗る：16.1km/時未満、レジャー、通勤、娯楽,bicycling,"bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)"
01011,6.8,自転車,自転車に乗る：通勤、自分で選んだペースで,bicycling,"bicycling, to/from work, self selected pace"
01013,5.8,自転車,自転車に乗る：非舗装道や農道、ほどほどの速さ,bicycling,"bicycling, on dirt or farm road, moderate pace"
01015,7.5,自転車,自転車に乗る：全般,bicycling,"bicycling, general"
01018,3.5,自転車,自転車に乗る：レジャー、8.9km/時,bicycling,"bicycling, leisure, 5.5 mph"
01019,5.8,自転車,自転車に乗る：レジャー、15.1km/時,bicycling,"bicycling, leisure, 9.4 mph"
01020,6.8,自転車,自転車に乗る：16.1-19.2km/時、レジャー、ゆっくり、楽な労力,bicycling,"bicycling, 10-11.9 mph, leisure, slow, light effort"
01030,8,自転車,自転車に乗る：19.3-22.4km/時、レジャー、ほどほどの労力,bicycling,"bicycling, 12-13.9 mph, leisure, moderate effort"
01040,10,自転車,自転車に乗る：22.5-25.6km/時、レース、レジャー、速い、きつい労力,bicycling,"bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort"
01060,15.8,自転車,自転車に乗る：32.2km/時より速い、レース、ドラフティングなし,bicycling,"bicycling, > 20 mph, racing, not drafting"
01066,9,自転車,自転車に乗る：19.3km/時、立ってこぐ、ブレーキに手をかける、ペダル毎分60回転,bicycling,"bicycling, 12 mph, standing, hands on brake hoods, 60 rpm"
01070,5,自転車,一輪車に乗る,bicycling,unicycling
02001,2.3,コンディショニング運動,アクティブビデオゲーム(例：Wii Fit)：楽な労力(例：バランス、ヨガ),conditioning exercise,"activity promoting video game (e.g., Wii Fit), light effort (e.g., balance, yoga)"
02003,3.8,コンディショニング運動,アクティブビデオゲーム(例：Wii Fit)：ほどほどの労力(例：エアロビック、レジスタンス),conditioning exercise,"activity promoting video game (e.g., Wii Fit), moderate effort (e.g., aerobic, resistance)"
02008,5,コンディショニング運動,軍人用障害物エクササイズ、ブートキャンプトレーニングプログラム,conditioning exercise,"army type obstacle course exercise, boot camp training program"
02010,7,コンディショニング運動,自転車：自転車エルゴメータ、全般,conditioning exercise,"bicycling, stationary, general"
02011,3.5,コンディショニング運動,自転車：自転車エルゴメータ、30-50ワット、非常に楽な労力,conditioning exercise,"bicycling, stationary, 30-50 watts, very light to light effort"
02012,6.8,コンディショニング運動,自転車：自転車エルゴメータ、90-100ワット、ほどほどからきつい労力,conditioning exercise,"bicycling, stationary, 90-100 watts, moderate to vigorous effort"
02013,8.8,コンディショニング運動,自転車：自転車エルゴメータ、101-160ワット、きつい労力,conditioning exercise,"bicycling, stationary, 101-160 watts, vigorous effort"
02014,11,コンディショニング運動,自転車：自転車エルゴメータ、161-200ワット、きつい労力,conditioning exercise,"bicycling, stationary, 161-200 watts, vigorous effort"
02015,14,コンディショニング運動,自転車：自転車エルゴメータ、201-270ワット、非常にきつい労力,conditioning exercise,"bicycling, stationary, 201-270 watts, very vigorous effort"
02017,4.8,コンディショニング運動,自転車：自転車エルゴメータ、51-89ワット、楽からほどほどの労力,conditioning exercise,"bicycling, stationary, 51-89 watts, light-to-moderate effort"
02019,8.5,コンディショニング運動,自転車：自転車エルゴメータ、RPM/スピンバイククラス,conditioning exercise,"bicycling, stationary, RPM/Spin bike class"
02022,3.8,コンディショニング運動,健康体操(例：腕立て伏せ、腹筋運動、懸垂、足や手を突き出す運動)：ほどほどの労力,conditioning exercise,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort"
02024,2.8,コンディショニング運動,健康体操(例：腹筋運動、クランチ)：楽な労力,conditioning exercise,"calisthenics (e.g., situps, abdominal crunches), light effort"
02035,4.3,コンディショニング運動,サーキットトレーニング：ほどほどの労力,conditioning exercise,"circuit training, moderate effort"
02045,3.5,コンディショニング運動,カーブスの所定のトレーニング,conditioning exercise,CurvesTM exercise routines in women
02050,6,コンディショニング運動,ティング、ボディービルディング、きつい労力,,"(conditioning exercise) (resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building,"
02052,5,コンディショニング運動,レジスタンス(ウェイト)トレーニング：スクワット、ゆっくりあるいは瞬発的な努力で,conditioning exercise,"resistance (weight) training, squats , slow or explosive effort"
02060,5.5,コンディショニング運動,フィットネスクラブでの運動：全般,conditioning exercise,"health club exercise, general (Taylor Code 160)"
02061,5,コンディショニング運動,フィットネスクラブでの運動：全般、体操やウェイトトレーニングを組み合わせた1回あたりに行う運動,conditioning exercise,"health club exercise classes, general, gym/weight training combined in one visit"
02062,7.8,コンディショニング運動,フィットネスクラブでの運動：コンディショニング教室,conditioning exercise,"health club exercise, conditioning classes"
02064,3.8,コンディショニング運動,家庩での運動：全般,conditioning exercise,"home exercise, general"
02065,9,コンディショニング運動,ステアートレッドミルエルゴメータ(階段昇りの運動)：全般,conditioning exercise,"stair-treadmill ergometer, general"
02068,12.3,コンディショニング運動,なわとび：全般,conditioning exercise,"rope skipping, general"
02070,6,コンディショニング運動,ボート漕ぎ：ローイングエルゴメータ、全般、きつい労力,conditioning exercise,"rowing, stationary ergometer, general, vigorous effort"
02071,4.8,コンディショニング運動,ボート漕ぎ：ローイングエルゴメータ、全般、ほどほどの労力,conditioning exercise,"rowing, stationary, general, moderate effort"
02072,7,コンディショニング運動,ボート漕ぎ：ローイングエルゴメータ、100ワット、ほどほどの労力,conditioning exercise,"rowing, stationary, 100 watts, moderate effort"
02073,8.5,コンディショニング運動,ボート漕ぎ：ローイングエルゴメータ、150ワット、きつい労力,conditioning exercise,"rowing, stationary, 150 watts, vigorous effort"
02074,12,コンディショニング運動,ボート漕ぎ：ローイングエルゴメータ、200ワット、非常にきつい労力,conditioning exercise,"rowing, stationary, 200 watts, very vigorous effort"
02080,6.8,コンディショニング運動,スキーマシーンを用いた運動：全般,conditioning exercise,"ski machine, general"
02085,11,コンディショニング運動,スライドボードを用いた運動：全般,conditioning exercise,"slide board exercise, general"
02101,2.3,コンディショニング運動,ストレッチ：ゆったり,conditioning exercise,"stretching, mild"
02105,3,コンディショニング運動,ピラティス：全般,conditioning exercise,"pilates, general"
02110,6.8,コンディショニング運動,運動教室の指導(例：エアロビクス、水中運動),conditioning exercise,"teaching exercise class (e.g., aerobic, water)"
02112,2.8,コンディショニング運動,ボールを用いた運動療法：フィットボールエクササイズ,conditioning exercise,"therapeutic exercise ball, Fitball exercise"
02115,2.8,コンディショニング運動,上肢の運動：腕エルゴメータ(ハンドエルゴメータ),conditioning exercise,"upper body exercise, arm ergometer"
02117,4.3,コンディショニング運動,上肢の運動：エアダインエルゴメータで腕のみを用いて毎分40回転、ほどほどの労力,conditioning exercise,"upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate"
02120,5.3,コンディショニング運動,アクアビクス：水中での健康体操、水中運動,conditioning exercise,"water aerobics, water calisthenics, water exercise"
02135,1.3,コンディショニング運動,ジャグジー(渦巻き)風呂に入る：座位,conditioning exercise,"whirlpool, sitting"
02140,2.3,コンディショニング運動,映像を用いた運動：テレビのコンディショニングプログラム(例：ヨガ、ストレッチ)、楽な労力,conditioning exercise,"video exercise workouts, TV conditioning programs (e.g., yoga, stretching), light effort"
02150,2.5,コンディショニング運動,ヨガ：ハタ,conditioning exercise,"yoga, Hatha"
02160,4,コンディショニング運動,ヨガ：パワー,conditioning exercise,"yoga, Power"
